Country,Rank,Index,Name Group,Localized Name,Romanized Name,Count,Percent
AM,1.0,1,AM-1,Գրիգորյան,Grigoryan,,
AM,2.0,2,AM-2,Հարությունյան,Harutyunyan,,
AM,3.0,3,AM-3,Սարգսյան,Sargsyan,,
AM,4.0,4,AM-4,Հովհաննիսյան,Hovhannisyan,,
AM,5.0,5,AM-5,Խաչատրյան,Khachatryan,,
AM,6.0,6,AM-6,Հակոբյան,Hakobyan,,
AM,7.0,7,AM-7,Պետրոսյան,Petrosyan,,
AM,8.0,8,AM-8,Վարդանյան,Vardanyan,,
AM,9.0,9,AM-9,Գեւորգյան,Gevorgyan,,
AM,10.0,10,AM-10,Կարապետյան,Karapetyan,,
AM,11.0,11,AM-11,Մկրտչյան,Mkrtchyan,,
AM,12.0,12,AM-12,Ղազարյան,Ghazaryan,,
AM,13.0,13,AM-13,Մանուկյան,Manukyan,,
AM,14.0,14,AM-14,Ավետիսյան,Avetisyan,,
AM,15.0,15,AM-15,Պողոսյան,Poghosyan,,
AM,16.0,16,AM-16,Մարտիրոսյան,Martirosyan,,
AM,17.0,17,AM-17,Սահակյան,Sahakyan,,
AM,18.0,18,AM-18,Առաքելյան,Arakelyan,,
AM,19.0,19,AM-19,Մարգարյան,Margaryan,,
AM,20.0,20,AM-20,Դավթյան,Davtyan,,
AZ,1.0,1,AZ-1,Məmmədov,Mammadov,,
AZ,2.0,2,AZ-2,Əliyev,Aliyev,,
AZ,3.0,3,AZ-3,Hüseynov,Huseynov,,
AZ,4.0,4,AZ-4,Həsənov,Hasanov,,
AZ,5.0,5,AZ-5,Quliyev,Guliyev,,
AZ,6.0,6,AZ-6,İsmayılov,Ismayilov,,
AZ,7.0,7,AZ-7,Əhmədov,Ahmadov,,
AZ,8.0,8,AZ-8,Abdullayev,Abdullayev,,
AZ,9.0,9,AZ-9,Abbasov,Abbasov,,
AZ,10.0,10,AZ-10,Cəfərov,Jafarov,,
BD,1.0,1,BD-1,আক্তার,Akter,,
BD,2.0,2,BD-2,ইসলাম,Islam,,
BD,3.0,3,BD-3,খাতুন,Khatun,,
BD,4.0,4,BD-4,হোসেন,Hossain,,
BD,5.0,5,BD-5,রহমান,Rahman,,
BD,6.0,6,BD-6,আহম্মেদ,Ahmed,,
KH,1.0,1,KH-1,កូយ,,,
KH,2.0,2,KH-2,កឹម,,,
KH,3.0,3,KH-3,កែប,,,
KH,4.0,4,KH-4,កែវ,Keo,,
KH,5.0,5,KH-5,ខាត់,Khat,,
KH,6.0,6,KH-6,ខាយ,Khay,,
KH,7.0,7,KH-7,ខៀវ,Khiev,,
KH,8.0,8,KH-8,ខ្លូត,Khlot,,
KH,9.0,9,KH-9,គឹម,Kim,,
KH,10.0,10,KH-10,គួច,,,
KH,11.0,11,KH-11,កាំង,,,
KH,12.0,12,KH-12,ឃាង,,,
KH,13.0,13,KH-13,ឃិន,,,
KH,14.0,14,KH-14,ឃីម,,,
KH,15.0,15,KH-15,ចន្ទ,Chhan,,
KH,16.0,16,KH-16,ចាន់,,,
KH,17.0,17,KH-17,ចាប,Bird,,
KH,18.0,18,KH-18,ចេង,,,
KH,19.0,19,KH-19,ចេន,Chen,,
KH,20.0,20,KH-20,ឆន,Chhorn,,
KH,21.0,21,KH-21,ឆាយ,,,
KH,22.0,22,KH-22,ជា,Chea,,
KH,23.0,23,KH-23,ជាម,Cheam,,
KH,24.0,24,KH-24,ជិន,Chin,,
KH,25.0,25,KH-25,ជឹម,Chim,,
KH,26.0,26,KH-26,ជ័យ,Chey,,
KH,27.0,27,KH-27,ឈិត,Chhet,,
KH,28.0,28,KH-28,ឈិន,,,
KH,29.0,29,KH-29,ឈឹម,Chhim,,
KH,30.0,30,KH-30,ញឹក,Nhek,,
KH,31.0,31,KH-31,ដួង,Duong,,
KH,32.0,32,KH-32,ឌិត,Dith,,
KH,33.0,33,KH-33,ឌិន,Din,,
KH,34.0,34,KH-34,ឌី,,,
KH,35.0,35,KH-35,ឌុល,Dul,,
KH,36.0,36,KH-36,ឌួង,Duong,,
KH,37.0,37,KH-37,តក់,Droplets,,
KH,38.0,38,KH-38,តាង,Tang,,
KH,39.0,39,KH-39,តាត,Tat,,
KH,40.0,40,KH-40,តូច,,,
KH,41.0,41,KH-41,តាំង,Taing,,
KH,42.0,42,KH-42,ថន,,,
KH,43.0,43,KH-43,ទាវ,,,
KH,44.0,44,KH-44,ទី,Ty,,
KH,45.0,45,KH-45,ទុំ,,,
KH,46.0,46,KH-46,ទ្រី,,,
KH,47.0,47,KH-47,ទេព,Tep,,
KH,48.0,48,KH-48,ធី,Thy,,
KH,49.0,49,KH-49,នី,,,
KH,50.0,50,KH-50,ប្រាក់,Khmer,,
KH,51.0,51,KH-51,ប៉ាង,Pang,,
KH,52.0,52,KH-52,ប៉ុក,Pok,,
KH,53.0,53,KH-53,ប៊ុន,Bun,,
KH,54.0,54,KH-54,ប៉ែន,Pen,,
KH,55.0,55,KH-55,ផាន,Phan,,
KH,56.0,56,KH-56,ពិជ,,,
KH,57.0,57,KH-57,ពេជ្រ,means,,
KH,58.0,58,KH-58,ភី,Phy,,
KH,59.0,59,KH-59,មា,Ma,,
KH,60.0,60,KH-60,មាន,Mean,,
KH,61.0,61,KH-61,មាស,Meas,,
KH,62.0,62,KH-62,មួយ,Muy,,
KH,63.0,63,KH-63,មូល,Mul,,
KH,64.0,64,KH-64,មេង,Meng,,
KH,65.0,65,KH-65,ម៉ៅ,Mao,,
KH,66.0,66,KH-66,យស់,Yos,,
KH,67.0,67,KH-67,យុន,Yun,,
KH,68.0,68,KH-68,យូ,Yu,,
KH,69.0,69,KH-69,រស់,Ros,,
KH,70.0,70,KH-70,រួយ,,,
KH,71.0,71,KH-71,លិម,Lim,,
KH,72.0,72,KH-72,លី,,,
KH,73.0,73,KH-73,លីវ,,,
KH,74.0,74,KH-74,លឹម,,,
KH,75.0,75,KH-75,វ៉ាង,Vang,,
KH,76.0,76,KH-76,វង្ស,Vong,,
KH,77.0,77,KH-77,ស,Sor,,
KH,78.0,78,KH-78,សង,Sang,,
KH,79.0,79,KH-79,សម,Sam,,
KH,80.0,80,KH-80,សរ,Sor,,
KH,81.0,81,KH-81,សាង,Sang,,
KH,82.0,82,KH-82,សាត,Sat,,
KH,83.0,83,KH-83,សាន,San,,
KH,84.0,84,KH-84,សាយ,Say,,
KH,85.0,85,KH-85,សិន,Sin,,
KH,86.0,86,KH-86,សឺន,Son,,
KH,87.0,87,KH-87,សុខ,Sok,,
KH,88.0,88,KH-88,សុង,Song,,
KH,89.0,89,KH-89,សុន,Son,,
KH,90.0,90,KH-90,ស៊ុយ,Suy,,
KH,91.0,91,KH-91,សូ,So,,
KH,92.0,92,KH-92,ស៊ូ,Su,,
KH,93.0,93,KH-93,សួន,Soun,,
KH,94.0,94,KH-94,សឿង,,,
KH,95.0,95,KH-95,សៀង,Sieng,,
KH,96.0,96,KH-96,សេង,Seng,,
KH,97.0,97,KH-97,សេន,Sen,,
KH,98.0,98,KH-98,សោម,Som,,
KH,99.0,99,KH-99,សៅ,,,
KH,100.0,100,KH-100,ហាក៉,,,
KH,101.0,101,KH-101,ហុង,Hong,,
KH,102.0,102,KH-102,ហ៊ុន,Hun,,
KH,103.0,103,KH-103,ហូ,Ho,,
KH,104.0,104,KH-104,ឡាយ,,,
KH,105.0,105,KH-105,ឡុង,Long,,
KH,106.0,106,KH-106,អាង,Ang,,
KH,107.0,107,KH-107,អិម,Im,,
KH,108.0,108,KH-108,អុង,Ong,,
KH,109.0,109,KH-109,អ៊ុច,Uch,,
KH,110.0,110,KH-110,អ៊ុយ,Uy,,
KH,111.0,111,KH-111,អៀម,Eam,,
KH,112.0,112,KH-112,អៀវ,Iv,,
KH,113.0,113,KH-113,អ៊ុំ,Um,,
KH,114.0,114,KH-114,ឯក,Ek,,
KH,115.0,115,KH-115,ឱក,Ok,,
KH,116.0,116,KH-116,ឱម,Om,,
CN,1.0,1,CN-1,王,Wáng,101500000.0,
CN,1.0,1,CN-1,,Wong,101500000.0,
CN,2.0,2,CN-2,李,Lǐ,100900000.0,
CN,2.0,2,CN-2,,Lee,100900000.0,
CN,3.0,3,CN-3,张,Zhāng,95400000.0,
CN,3.0,3,CN-3,張,Cheung,95400000.0,
CN,4.0,4,CN-4,刘,Liú,72100000.0,
CN,4.0,4,CN-4,劉,Lau,72100000.0,
CN,5.0,5,CN-5,陈,Chén,63000000.0,
CN,5.0,5,CN-5,陳,Chan,63000000.0,
CN,6.0,6,CN-6,杨,Yáng,46200000.0,
CN,6.0,6,CN-6,楊,Yeung,46200000.0,
CN,7.0,7,CN-7,黄,Huáng,33700000.0,
CN,7.0,7,CN-7,黃,Wong,33700000.0,
CN,8.0,8,CN-8,赵,Zhào,28600000.0,
CN,8.0,8,CN-8,趙,Chiu,28600000.0,
