id,split,type,doc_label,n_fields,tampered_idxs,tampered_boxes,status
d0c9dc819ef349af98d9bb3447c387bd,train,BENIN/DL,1,19,[12],"[[487.0, 441.0, 1105.0, 484.0]]",done
4949fdea85004934b89edcd63d185294,train,BENIN/DL,1,20,[12],"[[487.0, 441.0, 1103.0, 484.0]]",done
52ce7126728449409edad90385f212bf,train,BENIN/DL,1,22,[18],"[[759.0, 326.0, 1078.0, 367.0]]",done
aba6217cf99043dfb224d8620424a3a8,train,BENIN/DL,1,21,[3],"[[873.0, 771.0, 1123.0, 806.0]]",done
810f36818d8a424e85e653927d6e0ee6,train,BENIN/DL,1,21,[17],"[[764.0, 326.0, 1177.0, 367.0]]",done
36abde981cb54213b254ca41952a00aa,train,BENIN/DL,1,20,[12],"[[487.0, 441.0, 1105.0, 482.0]]",done
94385a0cf59347e584e186ee65301cb6,train,BENIN/DL,1,21,[17],"[[764.0, 326.0, 1190.0, 367.0]]",done
84ce0e126aab478b976f34a08ff18be5,train,BENIN/DL,1,20,[13],"[[771.0, 390.0, 1204.0, 419.0]]",done
45469e07ef3349d39dfdd48be8c8e3f7,train,BENIN/DL,1,20,[13],"[[763.0, 390.0, 1448.0, 419.0]]",done
f8819fb205324e40b001f71de79c7d44,train,BENIN/DL,1,20,[12],"[[489.0, 442.0, 1105.0, 482.0]]",done
ccf4f4643ac54722aba3ea19d7336a6e,train,BENIN/DL,1,20,[2],"[[875.0, 771.0, 1162.0, 806.0]]",done
bb6f4e1a0b4c4c46b4fe053c376ba9bb,train,BENIN/DL,1,20,[2],"[[872.0, 771.0, 1161.0, 806.0]]",done
a051c98fd00f4fb4b947123f1d195a79,train,BENIN/DL,1,20,[16],"[[764.0, 327.0, 1048.0, 367.0]]",done
153846dad6ed41d287faee7590978e39,train,BENIN/DL,1,20,[12],"[[487.0, 439.0, 1101.0, 484.0]]",done
1a47fdce2a684a7ca7226bc2b6b5cbef,train,BENIN/DL,1,21,[13],"[[487.0, 441.0, 1098.0, 482.0]]",done
bacef5bfb17347c58ae27377bb44b724,train,BENIN/DL,1,21,[17],"[[763.0, 327.0, 1053.0, 367.0]]",done
cc0983c981804bca8fa731009246f624,train,BENIN/DL,1,20,[16],"[[764.0, 327.0, 1126.0, 367.0]]",done
ac50edb10329498aaf4524b2fdc42880,train,BENIN/DL,1,19,[12],"[[487.0, 441.0, 1105.0, 484.0]]",done
587013d0b8d34500841ec21cbd07f1d8,train,BENIN/DL,1,20,[12],"[[487.0, 441.0, 1103.0, 484.0]]",done
56f27b8d6a6b45608164566aa069375f,train,BENIN/DL,1,21,[14],"[[758.0, 388.0, 1101.0, 423.0]]",done
78c36beacf9c4bf481a3a2264f57e6b9,train,BENIN/DL,1,20,[13],"[[759.0, 388.0, 1209.0, 423.0]]",done
ad603888587f40d1ae44b8d015ecaea2,train,BENIN/DL,1,20,[16],"[[764.0, 326.0, 966.0, 367.0]]",done
7854ee19d90c4203bd92c27832974970,train,BENIN/DL,1,21,[14],"[[766.0, 387.0, 860.0, 424.0]]",done
a969b3d7b772413e8c8aa65adf4747a4,train,BENIN/DL,1,20,[16],"[[764.0, 326.0, 1060.0, 367.0]]",done
faa260df798e46d08d5c15d725f55163,train,BENIN/DL,1,21,[14],"[[764.0, 387.0, 934.0, 423.0]]",done
dfce0bd1f63d4b219943e08c22ba3582,train,BENIN/DL,1,20,[16],"[[763.0, 326.0, 944.0, 367.0]]",done
094fcbd4d3414e24a69b299d0965b9f7,train,BENIN/DL,1,20,[12],"[[487.0, 441.0, 1103.0, 482.0]]",done
66db6f81c63342948d64d1c7c847d5ac,train,BENIN/DL,1,20,[2],"[[878.0, 771.0, 1169.0, 806.0]]",done
393b742e7c2d4d7b9bbb0b66cd698f09,train,BENIN/DL,1,20,[13],"[[766.0, 387.0, 1407.0, 421.0]]",done
5a029a45e8cc4429855ecc031e38f67f,train,BENIN/DL,1,22,[14],"[[487.0, 441.0, 1101.0, 482.0]]",done
001fe4c23169495f93e9ba02b93e4c1e,train,BENIN/DL,1,20,[2],"[[877.0, 771.0, 1161.0, 806.0]]",done
bbb4ef136ab1456da66ef412c8c741a1,train,BENIN/DL,1,19,[16],"[[763.0, 327.0, 1050.0, 367.0]]",done
ed08285b4909401fa0764b93f9ba682a,train,BENIN/DL,1,22,[15],"[[766.0, 385.0, 1001.0, 425.0]]",done
bba51e2243e546d7b2f251018eb10818,train,BENIN/DL,1,20,[12],"[[489.0, 442.0, 1103.0, 480.0]]",done
474cb344b2c443aebad2f38b00bedc6c,train,BENIN/DL,1,20,[2],"[[870.0, 771.0, 1157.0, 806.0]]",done
6d5c235e1ea5440abb49584359090115,train,BENIN/DL,1,20,[16],"[[761.0, 326.0, 900.0, 368.0]]",done
b843116c3c324caa879b9779910ad1bb,train,BENIN/DL,1,20,[13],"[[764.0, 388.0, 1040.0, 423.0]]",done
